Order Date,Segment,Market,Sales,Profit
14-12-2011,Consumer,US,6999.96,2239.9872
18-12-2013,Consumer,US,9892.74,4946.37
11-12-2013,Corporate,APAC,1695.87,-37.83
18-03-2014,Corporate,EU,1505.979,-265.761
19-12-2014,Consumer,APAC,1954.17,312.66
20-12-2011,Home Office,US,2244.48,493.7856
24-05-2013,Consumer,US,8399.976,1119.9968
14-10-2011,Consumer,US,1628.82,260.6112
18-09-2014,Consumer,LATAM,1213.18876,508.00876
25-11-2013,Corporate,APAC,1590.6,572.55
07-11-2013,Consumer,APAC,2330.64,1025.46
19-07-2014,Home Office,APAC,3278.5848,140.8248
16-08-2012,Home Office,APAC,3741.5238,946.6338
27-08-2013,Corporate,US,1603.136,100.196
11-01-2012,Consumer,APAC,3637.602,156.402
28-01-2013,Home Office,LATAM,2455.88,785.82
14-06-2012,Consumer,APAC,1024.68,-286.92
01-12-2011,Consumer,US,2807.84,673.8816
25-06-2013,Consumer,US,4476.8,503.64
06-12-2012,Home Office,LATAM,2297.96,988.12
05-09-2013,Corporate,EU,2671.41,534.24
18-09-2014,Consumer,Africa,3834,268.38
12-09-2014,Home Office,US,2054.272,256.784
03-08-2012,Corporate,APAC,3501.7368,210.8568
09-12-2014,Home Office,APAC,1725.462,747.612
25-10-2012,Consumer,APAC,1583.7,174.15
13-07-2012,Consumer,US,1931.04,321.84
27-08-2013,Home Office,APAC,2760.345,-214.725
13-05-2011,Corporate,APAC,3078.72,523.08
03-11-2011,Consumer,EU,1983.135,-1784.895
02-08-2014,Consumer,EU,1112.778,296.658
20-09-2011,Consumer,EU,3616.5,36
08-01-2014,Corporate,US,3059.982,679.996
11-03-2013,Consumer,APAC,2892.105,160.605
02-02-2012,Consumer,EU,3263.4,848.4
09-09-2013,Consumer,US,2396.2656,-317.1528
09-04-2014,Corporate,LATAM,3117.088,38.948
02-03-2013,Consumer,US,4899.93,2400.9657
19-03-2014,Home Office,LATAM,1888.7,887.6
02-10-2013,Consumer,APAC,3000.78,1080.18
12-01-2013,Corporate,EU,3801.63,1444.59
20-08-2014,Consumer,EMEA,5211.12,1146.24
17-12-2011,Corporate,APAC,1356.03,311.85
14-03-2014,Consumer,APAC,3569.643,674.163
26-03-2013,Consumer,US,1287.45,244.6155
09-07-2014,Consumer,APAC,2910.0816,125.1216
11-06-2013,Home Office,APAC,3126.4002,-128.7198
10-08-2011,Consumer,EU,5276.988,1758.888
17-03-2014,Consumer,APAC,2645.376,-0.024
02-01-2013,Consumer,APAC,1637.01,-36.39
26-11-2013,Consumer,US,4499.985,-6599.978
10-10-2012,Consumer,APAC,2645.376,-0.024
23-10-2014,Home Office,US,2399.6,647.892
17-06-2011,Corporate,APAC,3238.305,-740.295
03-04-2014,Corporate,EU,2291.814,127.134
17-05-2011,Consumer,LATAM,2124.5,488.6
11-02-2014,Home Office,EMEA,2757.78,744.48
12-10-2013,Consumer,EU,1549.98,139.32
19-09-2011,Consumer,US,2624.985,-944.9946
17-07-2014,Corporate,EMEA,3146.4,629.28
22-11-2014,Corporate,EU,2456.619,664.719
30-05-2011,Consumer,EU,2228.6355,-754.4145
01-04-2014,Corporate,US,2999.95,1439.976
17-07-2014,Corporate,APAC,4001.04,1440.24
29-08-2014,Home Office,EU,4876.875,745.875
26-12-2012,Consumer,APAC,1788.822,204.282
11-11-2014,Home Office,APAC,3622.29,1267.77
01-05-2013,Consumer,APAC,1242.585,-140.715
16-08-2011,Corporate,EU,4453.05,1424.85
03-12-2014,Consumer,APAC,2673.36,1069.2
25-06-2013,Consumer,APAC,2046.195,591.045
21-01-2013,Consumer,EU,5451.3,2071.44
22-10-2013,Home Office,US,4535.976,1644.2913
12-07-2014,Consumer,APAC,1722.2832,539.4432
26-12-2013,Corporate,US,2575.944,257.5944
01-09-2014,Home Office,EU,1007.424,134.304
17-11-2011,Corporate,US,2934.33,792.2691
07-06-2011,Home Office,APAC,4624.29,1644.03
13-10-2011,Corporate,EU,1066.446,-11.934
10-06-2013,Home Office,APAC,957.6,0
13-12-2014,Home Office,APAC,4864.32,162.12
13-10-2014,Consumer,US,2154.9,129.294
10-06-2014,Consumer,APAC,1433.8395,-84.3705
15-02-2011,Home Office,Africa,2784.6,779.52
28-11-2013,Consumer,EU,3063.27,1470.21
18-06-2014,Home Office,US,3404.5,1668.205
20-09-2013,Home Office,US,1606.23,481.869
09-08-2011,Consumer,LATAM,2044.8,-332.28
21-06-2011,Consumer,US,1214.85,352.3065
02-08-2012,Corporate,APAC,1521,0
19-06-2012,Consumer,EU,2443.905,760.305
16-07-2012,Corporate,US,1348.704,-219.1644
02-08-2013,Corporate,EMEA,1141.8,570.9
22-05-2014,Corporate,APAC,1865.97,802.17
10-02-2011,Corporate,APAC,6998.64,2939.31
27-09-2013,Consumer,EU,1091.25,119.97
02-06-2014,Home Office,APAC,1094.22,328.23
30-09-2013,Corporate,APAC,1320.624,484.224
19-07-2011,Consumer,APAC,2555.64,664.44
14-08-2014,Home Office,EMEA,3498.72,594.72
26-07-2013,Consumer,US,1439.976,191.9968
31-10-2014,Consumer,APAC,2272.86,977.22
25-07-2013,Consumer,APAC,5211.12,833.76
07-10-2014,Home Office,APAC,2582.16,361.44
17-10-2014,Home Office,APAC,3194.55,830.55
03-12-2013,Consumer,APAC,1704.996,378.876
08-11-2014,Corporate,APAC,1538.721,325.701
10-06-2013,Home Office,APAC,1381.32,593.91
21-09-2011,Home Office,EU,1181.547,498.807
21-06-2011,Consumer,EU,1696.248,734.928
09-05-2014,Home Office,US,3359.952,1049.985
23-09-2014,Consumer,US,4663.736,-1049.3406
26-11-2014,Home Office,Africa,1237.56,606.36
30-03-2012,Consumer,Africa,1274.7,140.16
10-11-2011,Consumer,LATAM,3172.14,856.44
22-08-2014,Consumer,US,4305.552,1453.1238
01-08-2012,Corporate,EU,3979.29,1989.54
23-12-2014,Consumer,US,1586.69,412.5394
04-07-2014,Home Office,US,2395.2,209.58
21-11-2014,Consumer,US,1259.97,327.5922
23-01-2013,Consumer,EMEA,2058,946.68
21-05-2011,Consumer,APAC,2539.8765,709.9365
28-09-2014,Consumer,EU,2898.21,1420.02
06-11-2011,Home Office,EU,1320.0075,357.1575
28-01-2014,Corporate,EMEA,2171.16,-2750.28
13-09-2014,Corporate,APAC,4448.223,444.483
01-12-2012,Home Office,US,1913.4,401.814
22-12-2011,Consumer,LATAM,2300.616,38.196
05-02-2013,Home Office,Africa,2615.94,1072.44
28-12-2011,Consumer,APAC,1066.68,394.65
28-05-2013,Corporate,US,3504.9,700.98
27-04-2011,Corporate,Africa,2544.6,814.2
06-10-2011,Corporate,APAC,3694.68,886.68
24-08-2013,Home Office,APAC,2214.849,-221.571
21-09-2013,Home Office,LATAM,1236.48,111.28
17-12-2014,Corporate,LATAM,1805.9,126.4
19-09-2011,Corporate,US,3059.982,-509.997
04-07-2014,Home Office,US,1687.8,742.632
21-05-2011,Corporate,US,2715.93,1276.4871
03-06-2014,Consumer,LATAM,1810.3,54.3
12-09-2014,Consumer,LATAM,2120.5,106
17-04-2014,Consumer,APAC,1275,140.22
21-11-2012,Consumer,EU,1593.648,-225.162
06-03-2014,Corporate,EU,1114.236,383.706
23-07-2012,Consumer,EU,2944.08,1112.13
07-11-2014,Consumer,APAC,3309.2598,318.8598
22-11-2014,Consumer,LATAM,897.48,322.92
11-06-2011,Consumer,EU,2056.05,390.6
14-09-2012,Corporate,LATAM,2365.6592,18.8592
25-11-2011,Consumer,APAC,1336.356,44.436
10-08-2012,Consumer,APAC,3038.64,1245.84
20-03-2013,Consumer,EU,2698.65,890.46
30-12-2013,Corporate,Africa,3799.08,455.76
04-10-2012,Consumer,APAC,2756.34,413.28
06-08-2012,Home Office,EU,983.88,-11.16
02-10-2012,Home Office,APAC,1719.807,117.657
26-03-2014,Consumer,APAC,1421.541,428.121
21-11-2014,Consumer,LATAM,1053.6884,441.2884
30-11-2011,Consumer,EU,1440.84,-1268.04
03-11-2011,Corporate,APAC,2544.372,621.792
23-11-2012,Consumer,US,2625.12,735.0336
06-12-2012,Consumer,EMEA,1554.48,341.76
03-12-2013,Consumer,LATAM,1278,89.46
20-12-2012,Corporate,LATAM,3474.08,625.28
13-09-2012,Consumer,LATAM,2550,357
04-11-2013,Consumer,US,1101.48,429.5772
16-11-2013,Consumer,US,1016.792,381.297
08-04-2013,Corporate,US,1199.976,374.9925
23-05-2012,Consumer,EMEA,934.248,-1331.652
18-11-2014,Consumer,US,10499.97,5039.9856
14-04-2014,Corporate,Africa,3908.88,1563.48
29-08-2014,Home Office,LATAM,2142.3,556.9
16-05-2014,Consumer,APAC,1900.584,-348.516
13-12-2012,Consumer,Africa,1840.68,496.98
31-03-2011,Consumer,EU,2624.04,446.04
04-02-2012,Corporate,APAC,3076.5,215.25
29-05-2013,Corporate,APAC,3181.7718,344.9718
29-08-2012,Consumer,EU,1392.633,-139.557
15-06-2011,Consumer,APAC,1296.24,285.12
28-08-2014,Consumer,APAC,1682.91,487.98
27-10-2011,Consumer,LATAM,1278,89.46
19-03-2014,Home Office,EMEA,2570.76,976.8
11-09-2014,Home Office,LATAM,2332.96,349.86
28-08-2012,Home Office,APAC,1582.2,-870.3
16-08-2014,Corporate,US,1801.632,-337.806
01-08-2013,Corporate,APAC,1512,498.96
10-06-2013,Consumer,US,695.7,-27.828
24-12-2014,Consumer,Africa,2550,714
15-12-2012,Consumer,US,2025.36,607.608
23-02-2012,Home Office,EU,2285.7,845.7
11-10-2014,Consumer,APAC,1029.2589,10.8189
21-04-2014,Corporate,LATAM,1058.2792,-2.1208
12-06-2013,Consumer,APAC,5751.54,2817.99
17-09-2013,Home Office,EU,2442.069,-244.251
19-09-2014,Home Office,APAC,1190.52,178.56
26-11-2014,Consumer,EU,3150.819,-35.091
01-09-2014,Home Office,EU,1599.9,719.85
20-06-2014,Corporate,APAC,2063.4,123.75
23-10-2014,Home Office,EMEA,1269.9,558.72
16-08-2011,Corporate,APAC,3274.02,261.9
12-09-2014,Consumer,LATAM,848.32,110.28
24-08-2012,Consumer,US,3080,1416.8
14-01-2014,Consumer,EU,2847.36,711.84
13-11-2014,Home Office,APAC,1725.75,-483.3
13-06-2013,Consumer,APAC,1479.3138,-63.6462
24-12-2012,Corporate,US,4899.93,2302.9671
22-09-2014,Consumer,APAC,1282.23,12.69
08-01-2011,Consumer,Africa,2478.6,49.5
03-10-2013,Corporate,US,17499.95,8399.976
30-07-2013,Corporate,APAC,959.76,460.62
31-07-2012,Consumer,US,1090.782,-290.8752
30-04-2014,Home Office,APAC,4135.641,847.041
28-09-2011,Consumer,LATAM,2325.28,511.52
24-06-2014,Consumer,APAC,5486.67,2316.51
06-04-2011,Home Office,EU,1523.664,-50.976
07-08-2014,Corporate,EU,1625.2425,-76.5675
19-11-2013,Corporate,US,1319.96,527.984
14-02-2014,Consumer,EU,734.94,130.62
29-11-2014,Home Office,US,2065.32,-619.596
17-08-2012,Consumer,EMEA,1391.52,69.36
31-08-2012,Corporate,US,1552.831,200.9546
07-08-2012,Consumer,LATAM,2461.06,566.02
27-01-2014,Consumer,US,2939.93,764.3818
08-09-2011,Consumer,US,8159.952,-1359.992
09-08-2012,Consumer,APAC,1226.19,612.99
21-02-2013,Consumer,APAC,1809.255,-258.495
18-07-2012,Corporate,APAC,1863,393.24
19-11-2011,Consumer,US,4548.81,1228.1787
09-04-2014,Consumer,EU,1244.187,-13.923
18-06-2012,Consumer,EU,2364.102,-218.298
31-12-2013,Corporate,EU,1946.313,114.453
30-06-2014,Consumer,US,895.92,302.373
16-01-2012,Corporate,EU,2283.714,-0.216
12-06-2012,Consumer,Africa,2549.76,1172.88
17-03-2014,Home Office,APAC,3299.562,366.282
13-11-2012,Consumer,EU,2489.4,273.78
27-11-2013,Consumer,US,3406.664,160.3136
06-12-2012,Home Office,US,999.98,449.991
16-05-2014,Home Office,EU,1189.242,250.992
25-12-2014,Home Office,US,2879.952,1007.9832
22-12-2014,Corporate,LATAM,1269.6,355.44
14-09-2013,Home Office,APAC,3499.155,-3009.435
07-01-2013,Consumer,APAC,2993.025,726.825
27-06-2014,Home Office,EU,815.949,287.919
13-07-2012,Consumer,EU,1245,161.76
11-02-2014,Consumer,APAC,1027.728,182.688
29-05-2014,Consumer,APAC,1703.025,737.925
16-04-2014,Consumer,APAC,1803.0837,-130.3863
27-11-2014,Corporate,EU,676.485,195.285
09-11-2011,Corporate,APAC,969.36,348.81
18-09-2014,Corporate,EU,1637.01,90.81
24-02-2014,Consumer,LATAM,1655.96144,13.20144
03-09-2013,Corporate,LATAM,976.96,232
23-12-2013,Corporate,APAC,731.34,175.5
17-06-2014,Consumer,Africa,1239,0
15-03-2014,Home Office,APAC,1680.606,368.256
12-07-2014,Consumer,APAC,2190.75,65.7
09-06-2014,Consumer,EU,935.172,114.252
15-10-2014,Consumer,EU,1026.96,441.36
06-08-2014,Consumer,APAC,2550,280.44
07-12-2012,Corporate,EU,1224.714,-129.726
25-12-2012,Corporate,APAC,2667.537,-417.813
16-05-2013,Consumer,EU,2605.92,1042.32
17-06-2013,Consumer,EMEA,2962.68,207.06
03-11-2014,Consumer,APAC,2664,905.7
28-05-2012,Consumer,EU,1513.56,741.6
17-08-2013,Corporate,EU,1233.63,234.36
03-06-2011,Consumer,EMEA,855.15,384.81
14-07-2011,Consumer,EU,956.34,-95.7
29-09-2011,Corporate,US,1801.632,-337.806
17-10-2011,Consumer,EU,1838.52,160.77
14-11-2011,Home Office,APAC,4498.83,674.73
14-07-2014,Consumer,EU,1824.144,-1303.056
03-06-2014,Consumer,LATAM,2344,46.88
15-12-2014,Consumer,APAC,2043.72,756
28-06-2014,Corporate,Africa,856.8,265.44
20-12-2014,Corporate,LATAM,2509.36,426.58
06-02-2012,Consumer,APAC,819.936,191.316
21-01-2011,Consumer,LATAM,2797.248,-0.072
03-08-2012,Consumer,LATAM,1455.08,261.8
27-10-2014,Corporate,APAC,2189.0898,541.3698
27-02-2012,Home Office,APAC,5451.3,327.06
11-06-2012,Corporate,EMEA,1291.08,296.94
23-02-2011,Corporate,APAC,1526.52,732.72
15-09-2014,Home Office,US,1079.85,323.955
20-07-2013,Home Office,LATAM,1869.72,205.56
29-03-2013,Consumer,LATAM,1815.24,471.94
23-10-2014,Corporate,APAC,959.76,460.62
24-06-2014,Consumer,LATAM,3045.84,1035.58
30-10-2013,Home Office,LATAM,2125,297.5
13-12-2012,Consumer,Africa,976.08,292.8
04-05-2013,Consumer,APAC,1266.36,265.92
08-05-2014,Corporate,US,1458.65,423.0085
08-09-2011,Home Office,Africa,2134.44,682.92
22-04-2012,Corporate,EU,4748.436,844.116
30-10-2013,Corporate,Africa,1867.5,242.64
16-04-2011,Home Office,APAC,1001.7,250.38
12-10-2012,Home Office,US,899.136,112.392
26-05-2014,Consumer,US,663.92,207.475
31-10-2014,Home Office,APAC,4306.32,1722.48
12-04-2013,Home Office,APAC,899.55,323.82
11-11-2013,Home Office,APAC,763.92,381.96
13-10-2012,Consumer,EU,2544.24,1093.92
13-10-2012,Consumer,APAC,1136.664,-189.456
30-01-2014,Corporate,APAC,2301,91.95
12-10-2012,Consumer,Africa,3908.88,1563.48
06-12-2013,Corporate,US,1951.84,585.552
03-12-2014,Consumer,US,2479.96,743.988
19-09-2013,Consumer,APAC,2249.16,224.88
31-12-2012,Corporate,LATAM,2528.26,176.96
29-12-2014,Consumer,EU,1461.135,202.185
15-11-2013,Consumer,LATAM,3045.84,1035.58
12-09-2011,Consumer,US,3785.292,420.588
15-05-2014,Consumer,US,1399.93,601.9699
08-09-2014,Consumer,APAC,2152.956,198.636
17-06-2013,Consumer,EU,1244.1,447.75
08-12-2011,Corporate,LATAM,2226.816,500.976
19-09-2014,Consumer,APAC,1586.412,17.532
27-11-2013,Corporate,US,3040,1459.2
10-02-2014,Consumer,EMEA,3425.4,1233
08-02-2014,Corporate,EU,1136.94,568.44
05-08-2013,Corporate,APAC,677.6352,211.2552
15-04-2014,Home Office,EMEA,731.34,80.4
21-03-2011,Corporate,US,3499.93,909.9818
05-05-2014,Consumer,APAC,1272.72,534.48
04-11-2013,Consumer,EU,1856.34,909.54
10-06-2014,Corporate,EU,2295,459
31-08-2012,Corporate,EU,1622.1825,324.3825
20-06-2013,Consumer,APAC,1063.44,361.41
23-08-2014,Corporate,EMEA,3449.88,275.94
28-05-2012,Home Office,LATAM,585.456,-0.024
19-05-2014,Consumer,Africa,1429.44,471.6
29-04-2013,Corporate,Africa,1057.8,158.64
23-12-2013,Corporate,APAC,1092.96,393.39
12-10-2014,Consumer,LATAM,1483,741.5
15-04-2014,Home Office,LATAM,1792.4,304.7
28-11-2014,Corporate,EU,2455.677,-191.163
11-05-2012,Consumer,EMEA,1900.44,417.96
18-06-2013,Consumer,APAC,3712.59,849.87
04-05-2012,Home Office,APAC,2372.22,0
11-11-2011,Home Office,APAC,5725.35,1602.99
24-12-2014,Consumer,EU,2553.18,842.52
15-05-2014,Corporate,LATAM,2003.52,861.48
09-12-2014,Consumer,EMEA,1188.36,95.04
07-12-2011,Home Office,APAC,2875.095,511.095
10-09-2013,Consumer,EU,2380.5,952.2
03-03-2011,Corporate,EMEA,1619.1,258.9
02-01-2012,Corporate,APAC,2821.7178,339.8778
30-10-2012,Corporate,APAC,2991.1032,-128.7468
19-11-2013,Consumer,APAC,1798.6764,86.6364
15-08-2013,Consumer,EMEA,2544.84,712.44
08-06-2013,Home Office,APAC,951.72,228.36
02-10-2014,Consumer,APAC,2575.92,978.84
27-02-2014,Consumer,EU,1699.83,84.96
31-10-2013,Home Office,APAC,2634.552,116.952
18-12-2013,Corporate,APAC,3707.352,1554.432
09-05-2014,Consumer,APAC,4298.85,300.9
04-07-2014,Corporate,APAC,3417.48,854.28
17-05-2012,Consumer,EU,2080.32,561.6
03-08-2011,Corporate,APAC,840.6,319.35
29-07-2013,Consumer,US,1369.764,-913.176
14-02-2013,Home Office,Africa,1288.8,90
23-05-2012,Home Office,APAC,660.69,44.04
04-08-2014,Corporate,EMEA,3234.24,970.2
13-11-2013,Consumer,LATAM,2171.3,390.8
12-02-2014,Consumer,APAC,2074.734,276.534
11-11-2014,Consumer,LATAM,849.8,195.44
30-03-2013,Home Office,APAC,1177.173,353.133
24-08-2013,Home Office,Canada,2270.34,1112.4
02-11-2014,Consumer,US,2665.62,239.9058
19-08-2013,Corporate,APAC,2863.08,-458.19
29-05-2014,Home Office,EU,1253.07,236.67
22-08-2012,Home Office,EMEA,3369.24,606.42
05-07-2014,Consumer,Africa,1464.12,439.2
14-03-2012,Consumer,EU,1273.125,-993.195
02-10-2014,Home Office,US,1704.89,767.2005
16-09-2014,Corporate,LATAM,1258.7774,375.7774
07-08-2014,Consumer,APAC,2584.008,290.598
09-09-2013,Consumer,APAC,1482.39,68.31
08-09-2014,Consumer,LATAM,1274.7,293.16
31-10-2011,Consumer,US,1604.9,481.47
17-10-2012,Consumer,LATAM,2818.08,225.36
17-02-2014,Consumer,APAC,1046.25,-111.6
24-02-2012,Consumer,APAC,3187.2,541.8
03-12-2012,Corporate,APAC,4099.68,956.58
12-12-2012,Consumer,APAC,703.35,260.1
16-06-2014,Corporate,APAC,2293.488,509.568
20-12-2012,Corporate,EU,1238.6115,14.4315
13-05-2014,Consumer,LATAM,1715.056,300.076
20-12-2014,Consumer,US,1665.62,33.3124
07-11-2014,Consumer,APAC,2841.66,852.48
10-06-2013,Corporate,EU,3399.66,-3059.82
10-05-2012,Corporate,APAC,1607.76,482.22
13-09-2013,Corporate,APAC,840.15,260.4
25-07-2013,Consumer,APAC,1236.33,519.21
11-10-2014,Consumer,APAC,2488.56,348.24
22-11-2011,Home Office,LATAM,1124.256,252.896
08-05-2013,Consumer,US,3999.95,1159.9855
25-10-2014,Corporate,LATAM,726.72,-18.18
28-08-2012,Corporate,US,2799.96,874.9875
14-10-2013,Home Office,Africa,1519.92,653.4
14-02-2011,Corporate,EMEA,1279.32,319.8
01-05-2014,Consumer,APAC,723.3,122.85
11-03-2011,Home Office,EMEA,642.69,244.2
03-08-2012,Consumer,APAC,2619,232.68
20-12-2012,Consumer,APAC,1704.87,-1023.03
03-08-2012,Consumer,EU,1715.91,583.38
20-06-2012,Consumer,APAC,1278,460.08
08-02-2013,Corporate,Africa,1234.56,246.84
28-09-2011,Consumer,EU,4195.2,839.04
23-06-2012,Consumer,EU,1765.395,-98.205
20-12-2013,Consumer,LATAM,1480.368,333.048
11-10-2012,Corporate,LATAM,2968.98,89.04
29-08-2011,Corporate,APAC,2301.138,-953.442
18-07-2014,Corporate,EU,1100.52,352.08
06-12-2011,Corporate,APAC,2518.95,553.98
16-04-2014,Corporate,EU,996.3,119.55
17-11-2014,Corporate,US,1919.976,215.9973
02-09-2011,Consumer,EMEA,922.95,341.49
01-08-2013,Corporate,EU,1850.445,184.995
12-09-2014,Consumer,LATAM,664.56,6.6
06-08-2014,Consumer,EU,1547.1,340.2
20-11-2014,Home Office,APAC,2190.951,316.701
04-05-2012,Consumer,LATAM,3242.88,324.18
27-08-2012,Consumer,Africa,2544.6,1246.8
24-12-2013,Consumer,EMEA,2605.56,573.12
29-01-2013,Consumer,EU,1271.457,-127.413
05-11-2013,Corporate,US,876.3,-292.1
27-12-2011,Consumer,EMEA,1207.56,0
30-11-2012,Consumer,APAC,2051.1,40.95
21-05-2013,Consumer,LATAM,2544.24,992.16
31-10-2011,Corporate,US,1421.664,-734.5264
27-06-2014,Home Office,EU,1314.45,341.73
04-11-2011,Home Office,US,3991.98,1995.99
25-07-2013,Corporate,LATAM,980.32,110.28
08-05-2011,Consumer,US,1799.97,239.996
27-10-2011,Consumer,APAC,2470.5,518.76
02-07-2013,Home Office,US,1499.95,449.985
26-12-2012,Home Office,APAC,877.02,105.24
21-12-2012,Consumer,US,1618.37,356.0414
